dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.017903
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.222857
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.541146
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.089899
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.000000
5,Wine,lstmfcn_64_cells_weights/Wine,0.000000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.181818
8,Beef,lstmfcn_64_cells_weights/Beef,0.000000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.424460
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.543478
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.532374
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.000000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.443670
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.000000
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.000000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.499514
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.479201
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.571878
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.149351
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.498282
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.240260
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.282927
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.597938
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.204878
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.427316
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.435526
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.421622
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.276316
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.000000
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.156410
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.107692
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.110256
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.225014
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.121720
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.121441
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.192308
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.490196
38,Car,lstmfcn_64_cells_weights/Car,0.000000
39,CBF,lstmfcn_64_cells_weights/CBF,0.511111
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.230435
41,Computers,lstmfcn_64_cells_weights/Computers,0.244000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.676259
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.869778
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.581896
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.190533
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.000000
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.137073
48,Fish,lstmfcn_64_cells_weights/Fish,0.108571
49,FordA,lstmfcn_64_cells_weights/FordA,0.562121
50,FordB,lstmfcn_64_cells_weights/FordB,0.481481
51,GunPoint,lstmfcn_64_cells_weights/GunPoint,0.413333
52,Ham,lstmfcn_64_cells_weights/Ham,0.000000
53,HandOutlines,lstmfcn_64_cells_weights/HandOutlines,0.445946
54,Haptics,lstmfcn_64_cells_weights/Haptics,0.159091
55,Herring,lstmfcn_64_cells_weights/Herring,0.000000
56,InlineSkate,lstmfcn_64_cells_weights/InlineSkate,0.172727
57,LargeKitchenAppliances,lstmfcn_64_cells_weights/LargeKitchenAppliances,0.221333
58,Lightning2,lstmfcn_64_cells_weights/Lightning2,0.000000
59,Mallat,lstmfcn_64_cells_weights/Mallat,0.121109
60,Meat,lstmfcn_64_cells_weights/Meat,0.000000
