Adiac,0.8593,0.8414,1
ArrowHead,0.9086,0.8457,
Yoga,0.9177,0.8719,
FaceAll,0.9402,0.8958,
Fish,0.9829,0.9542,
CricketX,0.8077,0.7641,
CricketZ,0.8103,0.7923,1
UWaveGestureLibraryX,0.8490,0.7805,
UWaveGestureLibraryZ,0.7973,0.7361,0
DiatomSizeReduction,0.9673,0.9281,
ChlorineConcentration,0.8099,0.8140,1
DistalPhalanxOutlineCorrect,0.8250,0.7681,
ECG200,0.9000,0.8999,1
ECG5000,0.9473,0.9417,
ECGFiveDays,0.9919,0.9883,
ElectricDevices,0.7681,0.7410,1
FaceFour,0.9432,0.9431,
FacesUCR,0.9293,0.9282,
ItalyPowerDemand,0.9631,0.9582,
Lightning7,0.8356,0.8219,1
MedicalImages,0.8013,0.7842,1
MiddlePhalanxOutlineCorrect,0.8217,0.8109,
MoteStrain,0.9393,0.9217,
ProximalPhalanxOutlineCorrect,0.9450,0.9003,
SonyAIBORobotSurface1,0.9817,0.9467,
SonyAIBORobotSurface2,0.9780,0.9811,
Strawberry,0.9838,0.9810,
SwedishLeaf,0.9792,0.9663,
Symbols,0.9839,0.9698,
SyntheticControl,0.9933,0.9833,
ToeSegmentation1,0.9825,0.9736,
ToeSegmentation2,0.9308,0.8999,
TwoLeadECG,0.9991,0.9991,
Wafer,0.9992,0.9972,
CricketY,0.8179,0.7846,
ProximalPhalanxTW,0.8350,0.8000,
